country,recognition_year,ssm_year,rec_eff,n,pool,slope_z,slope_pp,knot,cp_improve,thin
DK,1989.0,2012.0,1989,357,0.863,0.5,2.0,1940.0,0.063,True
NO,1993.0,2009.0,1993,602,0.783,2.26,6.4,1955.0,0.011,False
SE,1995.0,2009.0,1995,611,0.858,1.33,5.8,1945.0,0.001,False
IS,1996.0,2010.0,1996,806,0.921,,,,,False
NL,1998.0,2001.0,1998,1656,0.869,-0.0,-0.0,1945.0,0.011,False
FR,1999.0,2013.0,1999,2654,0.812,1.16,15.9,1950.0,0.012,False
BE,2000.0,2003.0,2000,1742,0.755,-1.85,-12.6,1940.0,0.008,False
DE,2001.0,2017.0,2001,1983,0.801,0.65,6.3,1960.0,0.012,False
FI,2002.0,2017.0,2002,2089,0.729,1.46,9.0,1945.0,0.006,False
ES,2005.0,2005.0,2005,1417,0.8,6.86,27.4,1945.0,0.044,False
GB,2005.0,2014.0,2005,1291,0.762,-1.26,-3.5,1960.0,0.004,False
CZ,2006.0,,2006,841,0.48,3.85,11.1,1985.0,0.002,False
SI,2006.0,2022.0,2006,1471,0.571,0.34,1.3,1945.0,0.013,False
CH,2007.0,2022.0,2007,1989,0.774,-1.66,-1.0,1950.0,0.005,False
HU,2009.0,,2009,1683,0.359,1.31,17.8,1960.0,0.0,False
PT,2010.0,2010.0,2010,2165,0.773,7.41,6.7,1940.0,0.014,False
AT,2010.0,2019.0,2010,2256,0.661,2.68,4.0,1960.0,0.012,False
IE,2011.0,2015.0,2011,3068,0.864,10.48,17.2,1975.0,0.016,False
HR,2014.0,,2014,1746,0.465,2.69,1.9,1965.0,0.007,False
GR,2015.0,2024.0,2015,2173,0.573,13.9,9.5,1955.0,0.023,False
CY,2015.0,,2015,653,0.441,3.14,4.2,1965.0,0.006,False
IT,2016.0,,2016,3626,0.612,14.56,5.9,1960.0,0.017,False
EE,2016.0,2024.0,2016,824,0.439,-0.39,-1.2,1955.0,0.002,False
ME,2021.0,,2021,1103,0.27,2.28,2.4,1990.0,0.001,False
IL,,,2030,1492,0.394,0.2,0.2,1980.0,0.003,False
LT,,,2030,2457,0.21,7.57,10.4,1980.0,0.008,False
MK,,,2030,679,0.204,1.69,2.3,1975.0,0.001,False
PL,,,2030,2335,0.498,,,1955.0,0.011,False
RS,,,2030,1333,0.279,2.67,2.1,1950.0,0.0,False
RU,,,2030,314,0.09,1.51,2.1,,,True
BG,,,2030,1004,0.349,1.92,1.8,1945.0,0.004,False
SK,,,2030,1601,0.403,7.64,7.0,1990.0,0.001,False
