segment,cohort_bin,tolerant,ci_lo,ci_hi,n_eff
Secular HiEdu Urban,1920,0.9354,0.5895,0.9932,8
Secular HiEdu Urban,1930,0.8353,0.7107,0.9128,51
Secular HiEdu Urban,1940,0.8526,0.7912,0.8983,168
Secular HiEdu Urban,1950,0.869,0.8299,0.9001,355
Secular HiEdu Urban,1960,0.8961,0.8611,0.9231,374
Secular HiEdu Urban,1970,0.8945,0.8669,0.9169,584
Secular HiEdu Urban,1980,0.9086,0.8828,0.9292,597
Secular HiEdu Urban,1990,0.9171,0.8845,0.9412,368
Secular HiEdu Urban,2000,0.9527,0.745,0.9928,17
Religious LowEdu,1910,0.3745,0.0607,0.8474,2
Religious LowEdu,1920,0.4934,0.4153,0.5717,153
Religious LowEdu,1930,0.5242,0.495,0.5532,1128
Religious LowEdu,1940,0.6115,0.5913,0.6312,2289
Religious LowEdu,1950,0.6628,0.6443,0.6808,2580
Religious LowEdu,1960,0.7149,0.6957,0.7334,2204
Religious LowEdu,1970,0.6731,0.6503,0.6951,1680
Religious LowEdu,1980,0.6738,0.648,0.6986,1314
Religious LowEdu,1990,0.6758,0.6457,0.7046,966
Religious LowEdu,2000,0.7515,0.7183,0.782,706
