segment,prediction,cohort_bin,approval,n,low_n
Coastal Liberal,REFRAME予測,1925,1.0,1,True
Coastal Liberal,REFRAME予測,1930,0.5,2,True
Coastal Liberal,REFRAME予測,1935,0.5,2,True
Coastal Liberal,REFRAME予測,1940,1.0,5,True
Coastal Liberal,REFRAME予測,1945,0.875,8,True
Coastal Liberal,REFRAME予測,1950,0.9412,17,True
Coastal Liberal,REFRAME予測,1955,0.6667,6,True
Coastal Liberal,REFRAME予測,1960,1.0,15,True
Coastal Liberal,REFRAME予測,1965,0.8889,9,True
Coastal Liberal,REFRAME予測,1970,1.0,12,True
Coastal Liberal,REFRAME予測,1975,0.8333,18,True
Coastal Liberal,REFRAME予測,1980,1.0,5,True
Coastal Liberal,REFRAME予測,1985,1.0,7,True
Coastal Liberal,REFRAME予測,1990,1.0,9,True
Bible Belt,ACTIVE予測,1900,0.0,2,True
Bible Belt,ACTIVE予測,1905,0.4,5,True
Bible Belt,ACTIVE予測,1910,0.0,8,True
Bible Belt,ACTIVE予測,1915,0.0769,13,True
Bible Belt,ACTIVE予測,1920,0.1429,14,True
Bible Belt,ACTIVE予測,1925,0.0556,36,False
Bible Belt,ACTIVE予測,1930,0.0976,41,False
Bible Belt,ACTIVE予測,1935,0.129,62,False
Bible Belt,ACTIVE予測,1940,0.1458,96,False
Bible Belt,ACTIVE予測,1945,0.215,107,False
Bible Belt,ACTIVE予測,1950,0.125,112,False
Bible Belt,ACTIVE予測,1955,0.246,126,False
Bible Belt,ACTIVE予測,1960,0.2109,128,False
Bible Belt,ACTIVE予測,1965,0.3269,104,False
Bible Belt,ACTIVE予測,1970,0.2405,79,False
Bible Belt,ACTIVE予測,1975,0.3393,56,False
Bible Belt,ACTIVE予測,1980,0.3387,62,False
Bible Belt,ACTIVE予測,1985,0.4242,66,False
Bible Belt,ACTIVE予測,1990,0.6552,29,False
Bible Belt,ACTIVE予測,1995,0.6667,15,True
Bible Belt,ACTIVE予測,2000,0.0,5,True
