event,mode_tag,community,n,pool_approval,slope_pp_decade_FE,slope_se_FE,slope_z_FE,slope_p_FE,slope_pp_decade_noFE,changepoint_knot,changepoint_note,cp_post_extra_slope,cp_sse_improve,state
同性婚,REFRAME(SSM),Coastal Liberal,116,0.914,1.2,2.0,0.63,0.5319,2.7,,飽和(変化点が定義できない=平坦/天井),,,飽和/平坦
同性婚,REFRAME(SSM),Bible Belt,1166,0.238,4.1,0.7,5.92,0.0,5.5,1975.0,線形で十分(明瞭な節なし),8.1,0.005,移行中(勾配/変化点)
同性婚,REFRAME(SSM),Rust Belt WWC,408,0.4,5.4,1.3,4.24,0.0,7.8,1950.0,線形で十分(明瞭な節なし),4.9,0.003,移行中(勾配/変化点)
同性婚,REFRAME(SSM),Black urban,42,0.524,2.2,4.4,0.51,0.6101,7.2,,N不足,,,弱/不明瞭
同性婚,REFRAME(SSM),Suburban MC,167,0.629,7.1,2.2,3.17,0.0015,7.9,1960.0,線形で十分(明瞭な節なし),10.1,0.008,移行中(勾配/変化点)
同性婚,REFRAME(SSM),Rural Conservative,520,0.192,4.5,0.9,4.82,0.0,5.5,1970.0,線形で十分(明瞭な節なし),7.2,0.007,移行中(勾配/変化点)
中絶,分岐(Dobbs系),Coastal Liberal,145,0.897,4.7,1.9,2.47,0.0137,3.1,1950.0,線形で十分(明瞭な節なし),4.5,0.006,移行中(勾配/変化点)
中絶,分岐(Dobbs系),Bible Belt,3531,0.234,2.6,0.4,6.97,0.0,2.2,1970.0,線形で十分(明瞭な節なし),-8.0,0.004,移行中(勾配/変化点)
中絶,分岐(Dobbs系),Rust Belt WWC,1791,0.404,1.4,0.6,2.14,0.0324,1.5,1965.0,線形で十分(明瞭な節なし),-6.7,0.002,移行中(勾配/変化点)
中絶,分岐(Dobbs系),Black urban,98,0.592,-3.1,4.2,-0.73,0.4634,-0.1,1965.0,変化点あり,15.9,0.022,弱/不明瞭
中絶,分岐(Dobbs系),Suburban MC,419,0.635,3.2,1.6,2.02,0.0434,3.2,1955.0,線形で十分(明瞭な節なし),-8.0,0.006,移行中(勾配/変化点)
中絶,分岐(Dobbs系),Rural Conservative,1469,0.177,1.7,0.5,3.19,0.0014,1.2,1965.0,線形で十分(明瞭な節なし),-6.7,0.005,移行中(勾配/変化点)
銃規制,ACTIVE(gun),Coastal Liberal,201,0.891,-2.2,1.6,-1.36,0.1737,-2.0,1960.0,線形で十分(明瞭な節なし),2.6,0.002,弱/不明瞭
銃規制,ACTIVE(gun),Bible Belt,4170,0.652,-0.5,0.4,-1.23,0.2181,-0.3,1975.0,線形で十分(明瞭な節なし),-7.7,0.002,弱/不明瞭
銃規制,ACTIVE(gun),Rust Belt WWC,2418,0.767,-0.8,0.5,-1.79,0.0737,-0.5,1970.0,線形で十分(明瞭な節なし),-5.3,0.001,弱/不明瞭
銃規制,ACTIVE(gun),Black urban,111,0.865,-1.7,3.1,-0.55,0.5794,-1.3,1950.0,線形で十分(明瞭な節なし),11.4,0.019,弱/不明瞭
銃規制,ACTIVE(gun),Suburban MC,474,0.789,1.9,1.2,1.51,0.1299,1.3,1940.0,線形で十分(明瞭な節なし),4.4,0.003,弱/不明瞭
銃規制,ACTIVE(gun),Rural Conservative,1801,0.6,-0.9,0.6,-1.42,0.1556,-1.1,1975.0,線形で十分(明瞭な節なし),-7.7,0.002,弱/不明瞭
移民増,分岐(immigration),Coastal Liberal,112,0.571,-3.3,3.1,-1.08,0.2802,-0.2,1980.0,変化点あり,41.5,0.066,弱/不明瞭
移民増,分岐(immigration),Bible Belt,1116,0.058,1.4,0.4,3.28,0.001,1.4,,飽和(変化点が定義できない=平坦/天井),,,飽和/平坦
移民増,分岐(immigration),Rust Belt WWC,348,0.092,-0.3,1.1,-0.29,0.7715,-0.3,,飽和(変化点が定義できない=平坦/天井),,,飽和/平坦
移民増,分岐(immigration),Black urban,48,0.208,0.4,5.1,0.09,0.9308,0.9,,N不足,,,弱/不明瞭
移民増,分岐(immigration),Suburban MC,142,0.19,-0.1,2.1,-0.07,0.944,-0.2,1975.0,線形で十分(明瞭な節なし),15.1,0.009,弱/不明瞭
移民増,分岐(immigration),Rural Conservative,513,0.049,0.4,0.6,0.68,0.4962,0.7,,飽和(変化点が定義できない=平坦/天井),,,飽和/平坦
